Datetime,open,high,low,close,volume
2024-06-24 12:00:00+00:00,501.0625,507.7438049316406,497.3599853515625,501.8800048828125,6889648
2024-06-24 16:00:00+00:00,501.82000732421875,502.5899963378906,494.29010009765625,498.9649963378906,4734721
2024-06-25 12:00:00+00:00,497.04998779296875,510.70989990234375,495.5,508.5899963378906,6035596
2024-06-25 16:00:00+00:00,508.4049987792969,510.6000061035156,504.9100036621094,510.5799865722656,3724229
2024-06-26 12:00:00+00:00,506.0299987792969,513.8099975585938,504.676513671875,512.2899780273438,4107549
2024-06-26 16:00:00+00:00,512.1699829101562,513.469970703125,510.3500061035156,513.0250244140625,2957191
2024-06-27 12:00:00+00:00,514.6699829101562,522.8300170898438,513.9000244140625,518.7000122070312,5983819
2024-06-27 16:00:00+00:00,518.6900024414062,519.6400146484375,516.230224609375,519.4199829101562,2473560
2024-06-28 12:00:00+00:00,517.1500244140625,521.8800048828125,513.25,514.9500122070312,4765899
2024-06-28 16:00:00+00:00,514.8400268554688,515.239990234375,503.8800048828125,504.1199951171875,5631523
2024-07-01 12:00:00+00:00,504.9800109863281,506.5799865722656,493.1700134277344,501.70001220703125,6016121
2024-07-01 16:00:00+00:00,501.6600036621094,505.8500061035156,500.9100036621094,504.6000061035156,2995339
2024-07-02 12:00:00+00:00,500.6199951171875,507.6099853515625,499.45001220703125,504.92999267578125,3047715
2024-07-02 16:00:00+00:00,504.9649963378906,510.5,504.8900146484375,509.6300048828125,3139068
2024-07-03 12:00:00+00:00,507.8992919921875,511.260009765625,506.0199890136719,509.92999267578125,4220297
2024-07-05 12:00:00+00:00,512.0,535.6599731445312,511.6075134277344,531.0499877929688,10832611
2024-07-05 16:00:00+00:00,531.0499877929688,540.8599243164062,529.0800170898438,539.9299926757812,7808707
2024-07-08 12:00:00+00:00,542.3499755859375,542.7899780273438,528.7800903320312,530.1085205078125,8595619
2024-07-08 16:00:00+00:00,530.030029296875,531.0700073242188,526.6500244140625,529.3900146484375,4709087
2024-07-09 12:00:00+00:00,533.739990234375,537.47998046875,529.5800170898438,532.0250244140625,5113132
2024-07-09 16:00:00+00:00,532.0549926757812,532.5800170898438,528.1901245117188,529.9600219726562,2625696
2024-07-10 12:00:00+00:00,530.7899780273438,537.6799926757812,528.3599853515625,537.3098754882812,5049155
2024-07-10 16:00:00+00:00,537.2999877929688,538.8800048828125,533.5800170898438,534.469970703125,3677925
2024-07-11 12:00:00+00:00,531.0650024414062,535.4600219726562,513.0999755859375,515.4949951171875,7754521
2024-07-11 16:00:00+00:00,515.530029296875,516.239990234375,508.4100036621094,512.5999755859375,6340895
2024-07-12 12:00:00+00:00,497.7550048828125,508.0599060058594,494.2309875488281,502.7550048828125,11007331
2024-07-12 16:00:00+00:00,502.8399963378906,506.260009765625,497.260009765625,498.5899963378906,6700423
2024-07-15 12:00:00+00:00,497.0,506.6799011230469,494.739990234375,501.2900085449219,6180089
2024-07-15 16:00:00+00:00,501.25,502.3800048828125,493.3699951171875,496.1400146484375,4163221
2024-07-16 12:00:00+00:00,501.5,503.94989013671875,486.2665100097656,486.65069580078125,7503780
2024-07-16 16:00:00+00:00,486.6148986816406,490.8599853515625,485.7900085449219,489.9100036621094,4800267
2024-07-17 12:00:00+00:00,478.4599914550781,478.95001220703125,466.3999938964844,466.44000244140625,11330293
2024-07-17 16:00:00+00:00,466.57220458984375,467.30999755859375,459.1199951171875,461.989990234375,14128605
2024-07-18 12:00:00+00:00,474.9490051269531,476.05999755859375,464.7300109863281,468.8299865722656,10131452
2024-07-18 16:00:00+00:00,468.6499938964844,479.2392883300781,468.42999267578125,475.8599853515625,7336257
2024-07-19 12:00:00+00:00,476.3699951171875,486.7099914550781,475.8299865722656,478.6400146484375,8487806
2024-07-19 16:00:00+00:00,478.8900146484375,480.1000061035156,475.7300109863281,476.7799987792969,4863604
2024-07-22 12:00:00+00:00,486.5,492.05999755859375,483.92999267578125,485.8800048828125,6349540
2024-07-22 16:00:00+00:00,485.8299865722656,490.5199890136719,485.3900146484375,487.6099853515625,4079064
2024-07-23 12:00:00+00:00,489.8825988769531,495.2200012207031,488.1499938964844,490.19000244140625,4525772
2024-07-23 16:00:00+00:00,490.29998779296875,493.7099914550781,487.7900085449219,488.79998779296875,3124188
2024-07-24 12:00:00+00:00,472.17999267578125,476.29998779296875,465.0400085449219,468.6099853515625,7139416
2024-07-24 16:00:00+00:00,468.45819091796875,469.67999267578125,460.5799865722656,461.30999755859375,7796594
2024-07-25 12:00:00+00:00,463.0,463.5480041503906,442.6499938964844,460.364990234375,11193051
2024-07-25 16:00:00+00:00,460.3006896972656,462.3599853515625,453.2799987792969,453.3999938964844,5052187
