Date,open,high,low,close,volume
2021-06-14 04:00:00+00:00,355.5099986137435,359.76446727444534,350.8767232376832,356.8893127441406,17993100
2021-06-21 04:00:00+00:00,358.0550040680886,369.16712542600476,355.70438011328866,368.7300109863281,15691200
2021-06-28 04:00:00+00:00,370.00245071896916,370.00245071896916,353.8296332754915,364.28125,16974500
2021-07-05 04:00:00+00:00,365.85478814363984,367.3992134264609,355.1700603199456,362.2511291503906,11130900
2021-07-12 04:00:00+00:00,364.6811905544973,382.6332216517339,361.8415266258005,376.4676818847656,18429300
2021-07-19 04:00:00+00:00,367.5985894835649,383.64455965943483,353.37115784584125,382.4386901855469,20650300
2021-07-26 04:00:00+00:00,380.8924992034046,384.40314922894714,371.8094802087355,375.3201599121094,14749500
2021-08-02 04:00:00+00:00,378.58771857618257,379.24902974347117,349.67581045415045,364.2241516113281,17562900
2021-08-09 04:00:00+00:00,363.8935531472324,364.1950206165064,348.0031785059728,352.7683410644531,15001000
2021-08-16 04:00:00+00:00,350.58019368806475,355.61764954265044,343.6074760840671,345.2218017578125,15388400
2021-08-23 04:00:00+00:00,347.6335785947209,356.02611354998214,341.97371911936176,345.94146728515625,16554900
2021-08-30 04:00:00+00:00,345.0370709272691,348.18793707287284,329.603765348748,330.8680114746094,27895100
2021-09-06 04:00:00+00:00,335.3997853604601,345.23157744747647,333.58121662874925,337.83099365234375,16972700
2021-09-13 04:00:00+00:00,340.3691217700622,342.30435385121996,331.39309110336353,333.60064697265625,19648200
2021-09-20 04:00:00+00:00,329.01050346872415,350.02584990567243,326.38478711623026,348.3045654296875,18252100
2021-09-27 04:00:00+00:00,347.22507460296725,353.1864006792065,337.60723229778563,350.2689514160156,19854300
2021-10-04 04:00:00+00:00,350.02596245912633,350.7261517330871,329.77884982511415,345.1927185058594,21883500
2021-10-11 04:00:00+00:00,344.64538173517735,347.23542956166557,328.1214875494224,346.6414794921875,17705800
2021-10-18 04:00:00+00:00,344.6550071410008,352.96076728667646,338.1408730725214,349.2412109375,14203200
2021-10-25 04:00:00+00:00,352.93163192045347,357.69309771164234,320.2246504515675,326.6998291015625,30769500
2021-11-01 04:00:00+00:00,326.4369632967488,340.9550134629006,314.84004926748065,339.62103271484375,26475000
2021-11-08 05:00:00+00:00,338.861516329228,354.2753639279274,330.72126870858835,353.9443054199219,23643500
2021-11-15 05:00:00+00:00,355.5412326452332,361.37375832312443,330.21497268413685,330.7894592285156,34878000
2021-11-22 05:00:00+00:00,330.86734906788024,332.50320792699836,310.6141499244568,315.64825439453125,31522700
2021-11-29 05:00:00+00:00,321.3346819662476,323.0970981737544,297.9558491316829,313.642333984375,36059100
2021-12-06 05:00:00+00:00,316.21294122915754,341.0425948129713,313.53523348972664,340.7212829589844,22016900
2021-12-13 05:00:00+00:00,340.0105091633275,344.47009722572784,326.70959914914096,340.1273498535156,25063600
2021-12-20 05:00:00+00:00,332.26940029357115,352.94131220462293,327.39112445289834,351.1009826660156,14202400
2021-12-27 05:00:00+00:00,350.5362930027166,355.0640475109357,346.2519664757493,349.8741760253906,9674400
2022-01-03 05:00:00+00:00,350.33192071284225,372.44491645167864,349.8061078046158,359.9327087402344,26871600
2022-01-10 05:00:00+00:00,361.63342410673073,368.2340934982455,340.0471384092939,362.8326721191406,23846400
2022-01-17 05:00:00+00:00,361.5164509275568,363.7394263255325,345.25359959044465,346.1993408203125,19309000
2022-01-24 05:00:00+00:00,334.00220956852957,373.1967754144069,322.3218229189714,372.94329833984375,39135300
2022-01-31 05:00:00+00:00,369.20909990762806,389.9179017865859,366.8788899498403,372.6410827636719,28555900
2022-02-07 05:00:00+00:00,372.6410555654628,378.73474086870283,358.4452086633807,360.52191162109375,24426200
2022-02-14 05:00:00+00:00,359.5956751926192,375.3709999453909,357.5871989758545,360.6974182128906,20959900
2022-02-21 05:00:00+00:00,355.8712132393158,364.95812368827205,332.77370663530047,359.8589172363281,18943300
2022-02-28 05:00:00+00:00,353.1314962570856,356.22219671990126,315.89663992949477,322.4875793457031,24491300
2022-03-07 05:00:00+00:00,321.337141627674,322.69239180106877,297.9666337361588,316.6669616699219,22697400
