Date,open,high,low,close,volume
2021-06-14 04:00:00+00:00,14083.4697265625,14196.2099609375,13903.73046875,14030.3798828125,24337120000
2021-06-21 04:00:00+00:00,14047.419921875,14414.4599609375,13960.0400390625,14360.3896484375,25205330000
2021-06-28 04:00:00+00:00,14417.8095703125,14649.1103515625,14417.2001953125,14639.330078125,22640000000
2021-07-05 04:00:00+00:00,14661.5498046875,14755.330078125,14371.58984375,14701.919921875,17496680000
2021-07-12 04:00:00+00:00,14743.8603515625,14803.6796875,14413.3203125,14427.240234375,21558850000
2021-07-19 04:00:00+00:00,14235.98046875,14846.0595703125,14178.66015625,14836.990234375,20882890000
2021-07-26 04:00:00+00:00,14821.0302734375,14863.650390625,14503.759765625,14672.6796875,20608220000
2021-08-02 04:00:00+00:00,14758.599609375,14896.4697265625,14584.08984375,14835.759765625,20505220000
2021-08-09 04:00:00+00:00,14855.759765625,14894.6103515625,14692.41015625,14822.900390625,20215820000
2021-08-16 04:00:00+00:00,14771.5302734375,14794.6796875,14423.16015625,14714.66015625,20062470000
2021-08-23 04:00:00+00:00,14776.98046875,15144.48046875,14776.98046875,15129.5,19050190000
2021-08-30 04:00:00+00:00,15165.9404296875,15380.0703125,15165.1201171875,15363.51953125,20278970000
2021-09-06 04:00:00+00:00,15375.98046875,15403.4404296875,15111.3095703125,15115.490234375,16764100000
2021-09-13 04:00:00+00:00,15211.4296875,15215.4404296875,14984.6796875,15043.9697265625,24192690000
2021-09-20 04:00:00+00:00,14758.1396484375,15085.4404296875,14530.0703125,15047.7001953125,21403270000
2021-09-27 04:00:00+00:00,14954.1796875,15003.16015625,14324.009765625,14566.7001953125,25596570000
2021-10-04 04:00:00+00:00,14493.1201171875,14755.7197265625,14181.6904296875,14579.5400390625,20754970000
2021-10-11 04:00:00+00:00,14540.080078125,14904.98046875,14441.599609375,14897.33984375,20413790000
2021-10-18 04:00:00+00:00,14839.740234375,15222.25,14833.2802734375,15090.2001953125,23505820000
2021-10-25 04:00:00+00:00,15142.919921875,15504.1201171875,15070.75,15498.3896484375,30106720000
2021-11-01 04:00:00+00:00,15541.259765625,16053.3896484375,15470.8203125,15971.58984375,26592080000
2021-11-08 05:00:00+00:00,15995.7197265625,16038.23046875,15543.6796875,15860.9599609375,26684420000
2021-11-15 05:00:00+00:00,15894.8203125,16121.1201171875,15778.3095703125,16057.4404296875,25869190000
2021-11-22 05:00:00+00:00,16120.919921875,16212.23046875,15456.08984375,15491.66015625,18701470000
2021-11-29 05:00:00+00:00,15719.419921875,15833.1103515625,14931.0595703125,15085.4697265625,29106590000
