Datetime,open,high,low,close,volume
2024-06-17 13:30:00+00:00,17698.865234375,17713.310546875,17637.064453125,17672.79296875,0
2024-06-17 14:30:00+00:00,17673.978515625,17726.87109375,17671.486328125,17718.560546875,763464000
2024-06-17 15:30:00+00:00,17718.810546875,17775.439453125,17707.384765625,17775.439453125,632234000
2024-06-17 16:30:00+00:00,17775.501953125,17847.6328125,17768.369140625,17839.798828125,525278000
2024-06-17 17:30:00+00:00,17840.71484375,17935.83203125,17838.314453125,17906.396484375,513722000
2024-06-17 18:30:00+00:00,17907.111328125,17929.15625,17893.271484375,17925.0234375,639519000
2024-06-17 19:30:00+00:00,17924.63671875,17924.96875,17851.42578125,17858.18359375,525650000
2024-06-18 13:30:00+00:00,17862.154296875,17880.666015625,17831.060546875,17852.509765625,0
2024-06-18 14:30:00+00:00,17852.8984375,17871.462890625,17797.046875,17823.373046875,700348000
2024-06-18 15:30:00+00:00,17822.736328125,17861.583984375,17818.21875,17842.75,506081000
2024-06-18 16:30:00+00:00,17842.9375,17876.896484375,17834.4140625,17874.72265625,430956000
2024-06-18 17:30:00+00:00,17874.537109375,17890.353515625,17831.65234375,17855.22265625,462142000
2024-06-18 18:30:00+00:00,17854.623046875,17868.048828125,17846.494140625,17863.3125,501214000
2024-06-18 19:30:00+00:00,17862.35546875,17875.34375,17846.3984375,17865.197265625,480709000
2024-06-20 13:30:00+00:00,17913.70703125,17936.595703125,17808.892578125,17859.91796875,0
2024-06-20 14:30:00+00:00,17862.689453125,17908.291015625,17853.1953125,17871.0078125,670452000
2024-06-20 15:30:00+00:00,17870.986328125,17889.037109375,17754.65234375,17754.65234375,542441000
2024-06-20 16:30:00+00:00,17753.26953125,17781.3515625,17688.25390625,17695.69140625,540588000
2024-06-20 17:30:00+00:00,17697.998046875,17767.21875,17650.6953125,17762.41015625,482240000
2024-06-20 18:30:00+00:00,17763.724609375,17765.421875,17662.19140625,17718.06640625,504161000
2024-06-20 19:30:00+00:00,17717.65625,17747.845703125,17707.63671875,17721.35546875,506934000
2024-06-21 13:30:00+00:00,17678.447265625,17724.228515625,17621.830078125,17672.837890625,0
2024-06-21 14:30:00+00:00,17670.77734375,17745.22265625,17656.419921875,17714.69921875,679739000
2024-06-21 15:30:00+00:00,17717.0625,17787.033203125,17697.609375,17759.87109375,513558000
2024-06-21 16:30:00+00:00,17750.927734375,17762.43359375,17678.43359375,17687.71484375,423403000
2024-06-21 17:30:00+00:00,17685.2578125,17707.748046875,17660.52734375,17707.302734375,401784000
2024-06-21 18:30:00+00:00,17706.5390625,17714.36328125,17679.138671875,17702.18359375,466077000
2024-06-21 19:30:00+00:00,17702.814453125,17721.078125,17682.25,17693.21484375,601758000
2024-06-24 13:30:00+00:00,17635.228515625,17729.80078125,17604.12890625,17630.255859375,0
2024-06-24 14:30:00+00:00,17627.80078125,17673.98046875,17565.599609375,17652.119140625,692283000
2024-06-24 15:30:00+00:00,17652.5859375,17667.228515625,17620.6953125,17642.3984375,462021000
2024-06-24 16:30:00+00:00,17639.494140625,17656.095703125,17550.564453125,17563.158203125,392127000
2024-06-24 17:30:00+00:00,17562.443359375,17575.943359375,17523.625,17530.34765625,407892000
2024-06-24 18:30:00+00:00,17531.13671875,17593.462890625,17518.7578125,17578.232421875,468580000
2024-06-24 19:30:00+00:00,17577.796875,17583.6328125,17494.38671875,17499.591796875,464105000
2024-06-25 13:30:00+00:00,17570.310546875,17640.205078125,17547.75,17634.396484375,0
2024-06-25 14:30:00+00:00,17636.552734375,17691.953125,17615.65625,17681.5859375,572335000
2024-06-25 15:30:00+00:00,17682.890625,17718.869140625,17671.5546875,17682.25390625,421227000
2024-06-25 16:30:00+00:00,17681.392578125,17681.392578125,17613.923828125,17662.796875,383346000
2024-06-25 17:30:00+00:00,17662.146484375,17717.865234375,17652.77734375,17717.865234375,319096000
2024-06-25 18:30:00+00:00,17717.986328125,17734.083984375,17682.119140625,17734.083984375,399264000
2024-06-25 19:30:00+00:00,17727.7890625,17729.130859375,17697.765625,17722.818359375,452931000
2024-06-26 13:30:00+00:00,17698.32421875,17786.26171875,17688.421875,17730.60546875,0
2024-06-26 14:30:00+00:00,17733.30859375,17779.025390625,17699.71875,17735.7578125,686095000
2024-06-26 15:30:00+00:00,17734.431640625,17795.865234375,17722.708984375,17783.6875,496104000
2024-06-26 16:30:00+00:00,17782.7734375,17788.35546875,17730.822265625,17748.11328125,409532000
2024-06-26 17:30:00+00:00,17745.767578125,17774.130859375,17743.869140625,17762.677734375,374571000
2024-06-26 18:30:00+00:00,17762.74609375,17771.94140625,17727.837890625,17756.048828125,431895000
2024-06-26 19:30:00+00:00,17756.177734375,17813.298828125,17750.623046875,17802.662109375,466637000
2024-06-27 13:30:00+00:00,17805.80859375,17892.47265625,17805.80859375,17865.541015625,0
2024-06-27 14:30:00+00:00,17863.142578125,17869.427734375,17792.361328125,17799.181640625,658413000
2024-06-27 15:30:00+00:00,17800.17578125,17843.0078125,17766.146484375,17839.529296875,514651000
2024-06-27 16:30:00+00:00,17839.755859375,17865.5390625,17835.4140625,17863.03515625,422039000
2024-06-27 17:30:00+00:00,17864.056640625,17873.66015625,17816.841796875,17832.021484375,400375000
2024-06-27 18:30:00+00:00,17831.115234375,17865.599609375,17823.82421875,17858.251953125,444920000
2024-06-27 19:30:00+00:00,17856.806640625,17858.24609375,17813.82421875,17857.875,493855000
2024-06-28 13:30:00+00:00,17879.892578125,18032.78125,17853.28515625,17988.13671875,0
2024-06-28 14:30:00+00:00,17990.3125,18010.50390625,17887.92578125,17905.33984375,665538000
