Date,open,high,low,close,volume
2021-06-14 00:00:00+00:00,0.0008210000232793391,0.001639000023715198,0.00026699999580159783,0.0002859999949578196,173
2021-06-21 00:00:00+00:00,0.0002859999949578196,0.0008520000264979899,0.00023099999816622585,0.0008299999753944576,387
2021-06-28 00:00:00+00:00,0.0008319999906234443,0.0008769999840296805,0.00041199999395757914,0.00042299999040551484,243
2021-07-05 00:00:00+00:00,0.00042299999040551484,0.000881000014487654,0.00036800000816583633,0.0003769999893847853,1173
2021-07-12 00:00:00+00:00,0.0003769999893847853,0.0007660000119358301,0.0003420000139158219,0.0007309999782592058,2092
2021-07-19 00:00:00+00:00,0.0007309999782592058,0.0007779999868944287,0.0004419999895617366,0.0007779999868944287,316
2021-07-26 00:00:00+00:00,0.0007779999868944287,0.0008980000275187194,0.00046099998871795833,0.00048099999548867345,225
2021-08-02 00:00:00+00:00,0.0004799999878741801,0.0007719999994151294,8.499999967170879e-05,8.800000068731606e-05,1012
2021-08-09 00:00:00+00:00,8.800000068731606e-05,0.000615999975707382,8.600000001024455e-05,0.0006120000034570694,474
2021-08-16 00:00:00+00:00,0.0006120000034570694,0.0008140000281855464,0.00017699999443721026,0.000493000028654933,4823
2021-08-23 00:00:00+00:00,0.000493000028654933,0.0005050000036135316,0.00033999999868683517,0.00043899999582208693,151
2021-08-30 00:00:00+00:00,0.00043899999582208693,0.0004670000053010881,0.0004189999890513718,0.0004659999976865947,92
2021-09-06 00:00:00+00:00,0.0004659999976865947,0.00047599998652003706,0.00017800000205170363,0.00018400000408291817,133
2021-09-13 00:00:00+00:00,0.00018400000408291817,0.00039000000106170774,0.0001740000006975606,0.00037799999699927866,188
2021-09-20 00:00:00+00:00,0.00037799999699927866,0.00037900000461377203,0.00031800000579096377,0.0003459999861661345,89
2021-09-27 00:00:00+00:00,0.0003459999861661345,0.0003549999964889139,0.00020399999630171806,0.0002410000015515834,51
2021-10-04 00:00:00+00:00,0.0002410000015515834,0.0004990000161342323,0.00023499999952036887,0.00032900000223889947,554
2021-10-11 00:00:00+00:00,0.00032900000223889947,0.00035099999513477087,0.0002840000088326633,0.000307999987853691,301
2021-10-18 00:00:00+00:00,0.000307999987853691,0.00039999998989515007,0.00029799999902024865,0.00030499999411404133,221
2021-10-25 00:00:00+00:00,0.00030499999411404133,0.0003699999942909926,0.00012199999764561653,0.00036800000816583633,258
2021-11-01 00:00:00+00:00,0.00036800000816583633,0.0003699999942909926,0.00011999999696854502,0.00012700000661425292,215
2021-11-08 00:00:00+00:00,0.00012700000661425292,0.00013800000306218863,0.0001250000059371814,0.00013099999341648072,62
2021-11-15 00:00:00+00:00,0.00013099999341648072,0.00013299999409355223,0.00011100000119768083,0.00011700000322889537,64
2021-11-22 00:00:00+00:00,0.00011700000322889537,0.00028700000257231295,0.00010699999984353781,0.0002859999949578196,345
