entry_time,exit_time,symbol,timeframe,asset_class,direction,exit_reason,label,gross_r,cost_r,net_r,risk_amount,money_pnl,equity_after,open_slots_in_use
2024-09-04 00:00:00+00:00,2024-09-26 00:00:00+00:00,XLK,1d,etfs,long,tp,1,3.0,0.0168,2.9832,46.73,139.39,4811.92,5
2024-09-04 12:00:00+00:00,2024-09-05 12:00:00+00:00,AAPL,4h,us_stocks,long,tp,1,3.0,0.0655,2.9345,48.12,141.21,4953.13,5
2024-09-05 12:00:00+00:00,2024-09-06 12:00:00+00:00,EURUSD=X,4h,fx,short,sl,0,-1.0,0.0787,-1.0787,49.53,-53.43,4899.7,5
2024-09-06 00:00:00+00:00,2024-09-13 00:00:00+00:00,QQQ,1d,etfs,long,tp,1,3.0,0.033,2.967,49.0,145.37,5045.07,4
2024-09-06 00:00:00+00:00,2024-09-13 00:00:00+00:00,SPY,1d,etfs,long,tp,1,3.0,0.0477,2.9523,50.45,148.94,5194.02,5
2024-09-06 12:00:00+00:00,2024-09-06 16:00:00+00:00,AUDUSD=X,4h,fx,long,sl,0,-1.0,0.1239,-1.1239,51.94,-58.37,5135.64,5
2024-09-06 16:00:00+00:00,2024-09-06 17:00:00+00:00,AUDUSD=X,1h,fx,long,sl,0,-1.0,0.1662,-1.1662,51.36,-59.89,5075.75,5
2024-09-06 17:30:00+00:00,2024-09-06 19:30:00+00:00,BRK-B,1h,us_stocks,long,sl,0,-1.0,0.2009,-1.2009,50.76,-60.96,5014.79,5
2024-09-06 19:30:00+00:00,2024-09-10 13:30:00+00:00,TSLA,1h,us_stocks,long,tp,1,3.0,0.0472,2.9528,50.15,148.08,5162.87,5
2024-09-10 13:30:00+00:00,2024-09-10 14:30:00+00:00,META,1h,us_stocks,short,tp,1,3.0,0.0954,2.9046,51.63,149.96,5312.83,5
2024-09-10 14:30:00+00:00,2024-09-11 13:30:00+00:00,UNH,1h,us_stocks,short,tp,1,3.0,0.1235,2.8765,53.13,152.82,5465.66,5
2024-09-11 13:30:00+00:00,2024-09-11 16:30:00+00:00,^RUT,1h,indices,long,tp,1,3.0,0.1706,2.8294,54.66,154.65,5620.3,5
2024-09-11 16:30:00+00:00,2024-09-11 17:30:00+00:00,AVGO,1h,us_stocks,short,sl,0,-1.0,0.0563,-1.0563,56.2,-59.37,5560.94,5
2024-09-11 17:30:00+00:00,2024-09-11 19:30:00+00:00,^RUT,1h,indices,short,sl,0,-1.0,0.2735,-1.2735,55.61,-70.82,5490.12,5
2024-09-11 19:30:00+00:00,2024-09-12 17:30:00+00:00,MSFT,1h,us_stocks,short,sl,0,-1.0,0.0846,-1.0846,54.9,-59.54,5430.58,5
2024-09-12 17:30:00+00:00,2024-09-13 13:30:00+00:00,^RUT,1h,indices,short,sl,0,-1.0,0.1146,-1.1146,54.31,-60.53,5370.05,5
2024-09-13 00:00:00+00:00,2024-09-17 00:00:00+00:00,GOOGL,1d,us_stocks,short,sl,0,-1.0,0.0282,-1.0282,53.7,-55.21,5314.83,4
2024-09-13 00:00:00+00:00,2024-09-17 00:00:00+00:00,XLE,1d,etfs,short,sl,0,-1.0,0.03,-1.03,53.15,-54.74,5260.09,5
2024-09-13 13:30:00+00:00,2024-09-17 14:30:00+00:00,QQQ,1h,etfs,short,sl,0,-1.0,0.0774,-1.0774,52.6,-56.67,5203.42,5
2024-09-17 06:00:00+00:00,2024-09-17 08:00:00+00:00,GBPUSD=X,1h,fx,short,sl,0,-1.0,0.4711,-1.4711,52.03,-76.55,5126.87,4
2024-09-17 06:00:00+00:00,2024-09-17 07:00:00+00:00,NZDUSD=X,1h,fx,short,sl,0,-1.0,0.1848,-1.1848,51.27,-60.74,5066.13,5
2024-09-17 10:00:00+00:00,2024-09-17 15:00:00+00:00,GC=F,1h,commodities,long,sl,0,-1.0,0.4131,-1.4131,50.66,-71.59,4994.54,4
2024-09-17 12:00:00+00:00,2024-09-18 08:00:00+00:00,SOL-USD,4h,crypto,short,tp,1,3.0,0.3168,2.6832,49.95,134.01,5128.55,5
2024-09-17 14:30:00+00:00,2024-09-17 15:30:00+00:00,^RUT,1h,indices,short,sl,0,-1.0,0.2955,-1.2955,51.29,-66.44,5062.11,5
2024-09-17 15:00:00+00:00,2024-09-17 16:00:00+00:00,GBPUSD=X,1h,fx,long,sl,0,-1.0,0.1566,-1.1566,50.62,-58.55,5003.56,5
2024-09-17 15:30:00+00:00,2024-09-17 16:30:00+00:00,COST,1h,us_stocks,long,sl,0,-1.0,0.1183,-1.1183,50.04,-55.95,4947.61,5
2024-09-17 16:30:00+00:00,2024-09-18 17:30:00+00:00,DIA,1h,etfs,long,tp,1,3.0,0.3193,2.6807,49.48,132.63,5080.24,4
2024-09-17 16:30:00+00:00,2024-09-18 13:30:00+00:00,^DJI,1h,indices,long,sl,0,-1.0,0.467,-1.467,50.8,-74.53,5005.72,5
2024-09-18 08:00:00+00:00,2024-09-19 00:00:00+00:00,ETH-USD,4h,crypto,long,tp,1,3.0,0.2448,2.7552,50.06,137.92,5143.63,5
2024-09-18 13:30:00+00:00,2024-09-18 17:30:00+00:00,AMZN,1h,us_stocks,long,tp,1,3.0,0.1733,2.8267,51.44,145.39,5289.03,5
2024-09-18 17:30:00+00:00,2024-09-19 13:30:00+00:00,XOM,1h,us_stocks,short,sl,0,-1.0,0.1119,-1.1119,52.89,-58.81,5230.22,4
2024-09-18 17:30:00+00:00,2024-09-18 18:30:00+00:00,AVGO,1h,us_stocks,short,sl,0,-1.0,0.1222,-1.1222,52.3,-58.7,5171.52,5
2024-09-18 18:30:00+00:00,2024-09-18 19:30:00+00:00,SLV,1h,etfs,short,tp,1,3.0,0.0508,2.9492,51.72,152.52,5324.04,5
2024-09-18 19:30:00+00:00,2024-09-19 13:30:00+00:00,SLV,1h,etfs,long,tp,1,3.0,0.1049,2.8951,53.24,154.14,5478.18,5
