timestamp_detected,symbol,timeframe,zone_type,direction,formation,formation_time,base_start_time,entry,stop,tp,risk,distal,model_prob,status,entry_time,exit_time,exit_reason,pnl_r,timeout_pnl_r,bars_held,last_checked
2026-06-17T08:14:34+00:00,BZ=F,1h,supply,short,RBD,2026-06-16T00:00:00+00:00,2026-06-15T23:00:00+00:00,83.52,83.86077,82.49769,0.34077,83.80000305175781,0.5202,pending,,,,,,,2026-06-17T21:24:46+00:00
2026-06-17T19:11:22+00:00,AMZN,1h,supply,short,DBD,2026-06-16T19:30:00+00:00,2026-06-16T17:30:00+00:00,245.50999,246.94278,241.21164,1.43279,246.72999572753903,0.5223,pending,,,,,,,2026-06-17T21:24:46+00:00
2026-06-17T20:07:47+00:00,EURUSD=X,1h,supply,short,DBD,2026-06-17T16:00:00+00:00,2026-06-17T16:00:00+00:00,1.15929,1.15963,1.15824,0.00035,1.1595547199249268,0.5568,pending,,,,,,,2026-06-17T21:24:46+00:00
2026-06-17T20:07:47+00:00,GBPUSD=X,1h,supply,short,DBD,2026-06-17T16:00:00+00:00,2026-06-17T15:00:00+00:00,1.33887,1.33994,1.33566,0.00107,1.3398360013961792,0.5231,pending,,,,,,,2026-06-17T21:24:46+00:00
2026-06-17T20:07:47+00:00,HG=F,1h,supply,short,RBD,2026-06-17T16:00:00+00:00,2026-06-17T16:00:00+00:00,6.487,6.50427,6.43518,0.01727,6.501500129699707,0.5355,pending,,,,,,,2026-06-17T21:24:46+00:00
2026-06-17T20:07:47+00:00,SI=F,1h,supply,short,RBD,2026-06-17T16:00:00+00:00,2026-06-17T16:00:00+00:00,70.52,70.93881,69.26354,0.41882,70.88999938964844,0.5262,pending,,,,,,,2026-06-17T21:24:46+00:00
2026-06-17T21:15:31+00:00,USDJPY=X,1h,demand,long,DBR,2026-06-17T17:00:00+00:00,2026-06-17T17:00:00+00:00,160.237,160.16034,160.46698,0.07666,160.1699981689453,0.5356,pending,,,,,,,2026-06-17T21:24:46+00:00
