Date,open,high,low,close,volume
2021-06-14 04:00:00+00:00,2337.449951171875,2348.639892578125,2229.580078125,2237.75,24868180000
2021-06-21 04:00:00+00:00,2238.6201171875,2350.219970703125,2238.6201171875,2334.39990234375,22845800000
2021-06-28 04:00:00+00:00,2335.340087890625,2342.18994140625,2295.429931640625,2305.760009765625,19135150000
2021-07-05 04:00:00+00:00,2305.9599609375,2306.909912109375,2192.97998046875,2280.0,16225570000
2021-07-12 04:00:00+00:00,2279.6298828125,2283.4599609375,2160.530029296875,2163.239990234375,18977190000
2021-07-19 04:00:00+00:00,2159.7099609375,2236.93994140625,2107.070068359375,2209.64990234375,21304580000
2021-07-26 04:00:00+00:00,2210.110107421875,2256.969970703125,2171.3701171875,2226.25,20734210000
2021-08-02 04:00:00+00:00,2228.030029296875,2258.320068359375,2189.760009765625,2247.760009765625,19171320000
2021-08-09 04:00:00+00:00,2247.429931640625,2250.6298828125,2221.31005859375,2223.110107421875,17260230000
2021-08-16 04:00:00+00:00,2222.030029296875,2222.030029296875,2122.239990234375,2167.60009765625,19014210000
2021-08-23 04:00:00+00:00,2169.110107421875,2281.840087890625,2169.110107421875,2277.14990234375,17595630000
2021-08-30 04:00:00+00:00,2278.449951171875,2309.969970703125,2260.429931640625,2292.050048828125,18470230000
2021-09-06 04:00:00+00:00,2292.169921875,2300.590087890625,2227.5400390625,2227.550048828125,14932410000
2021-09-13 04:00:00+00:00,2228.489990234375,2249.93994140625,2204.139892578125,2236.8701171875,22890790000
2021-09-20 04:00:00+00:00,2233.10009765625,2265.81005859375,2155.340087890625,2248.070068359375,20058800000
2021-09-27 04:00:00+00:00,2247.9599609375,2293.35009765625,2197.14990234375,2241.6298828125,20646370000
2021-10-04 04:00:00+00:00,2240.85009765625,2265.219970703125,2188.68994140625,2233.090087890625,19344290000
2021-10-11 04:00:00+00:00,2233.0,2306.27001953125,2220.239990234375,2265.64990234375,17878150000
2021-10-18 04:00:00+00:00,2265.06005859375,2304.0,2255.409912109375,2291.27001953125,18372450000
2021-10-25 04:00:00+00:00,2291.800048828125,2321.469970703125,2252.489990234375,2297.18994140625,20648340000
2021-11-01 04:00:00+00:00,2298.080078125,2449.139892578125,2298.080078125,2437.080078125,21195930000
2021-11-08 05:00:00+00:00,2438.360107421875,2458.860107421875,2380.760009765625,2411.780029296875,20545980000
2021-11-15 05:00:00+00:00,2412.0400390625,2421.070068359375,2341.570068359375,2343.159912109375,19909710000
2021-11-22 05:00:00+00:00,2343.669921875,2369.6298828125,2215.239990234375,2245.93994140625,15654820000
2021-11-29 05:00:00+00:00,2248.89990234375,2281.280029296875,2143.1201171875,2159.31005859375,26646380000
2021-12-06 05:00:00+00:00,2160.159912109375,2276.75,2154.6201171875,2211.81005859375,21271750000
2021-12-13 05:00:00+00:00,2211.590087890625,2216.090087890625,2124.739990234375,2173.929931640625,26609380000
2021-12-20 05:00:00+00:00,2170.969970703125,2247.6298828125,2107.679931640625,2241.580078125,14940780000
2021-12-27 05:00:00+00:00,2242.47998046875,2274.5400390625,2230.330078125,2245.31005859375,14244290000
2022-01-03 05:00:00+00:00,2246.7099609375,2288.300048828125,2179.2900390625,2179.81005859375,21878940000
2022-01-10 05:00:00+00:00,2179.070068359375,2210.280029296875,2126.1201171875,2162.4599609375,21251840000
2022-01-17 05:00:00+00:00,2160.35009765625,2160.35009765625,1987.9100341796875,1987.9200439453125,19444410000
2022-01-24 05:00:00+00:00,1986.449951171875,2048.35009765625,1901.3599853515625,1968.510009765625,27889090000
