Datetime,open,high,low,close,volume
2024-06-24 00:00:00+00:00,39184.48828125,39571.23046875,39184.48828125,39413.859375,206897657
2024-06-25 00:00:00+00:00,39398.7890625,39423.26171875,38997.23046875,39116.58984375,168050881
2024-06-26 00:00:00+00:00,39063.1484375,39183.73828125,38908.98828125,39126.578125,255783614
2024-06-27 00:00:00+00:00,39107.1015625,39250.69140625,39026.75,39176.21875,207663894
2024-06-28 00:00:00+00:00,39092.390625,39443.6015625,38937.1484375,39116.890625,301606667
2024-07-01 00:00:00+00:00,39186.19921875,39438.359375,39037.94140625,39162.0390625,201845139
2024-07-02 00:00:00+00:00,39108.25,39340.48828125,39085.69140625,39333.828125,185661644
2024-07-03 00:00:00+00:00,39358.94921875,39411.171875,39230.859375,39265.6015625,73303463
2024-07-05 00:00:00+00:00,39313.3984375,39399.62109375,39168.69921875,39370.9296875,173964226
2024-07-08 00:00:00+00:00,39391.98046875,39654.9609375,39278.4296875,39342.33984375,209784309
2024-07-09 00:00:00+00:00,39357.37109375,39492.28125,39146.6015625,39295.80859375,300450500
2024-07-10 00:00:00+00:00,39272.44921875,39736.19921875,39256.71875,39714.3984375,200223514
2024-07-11 00:00:00+00:00,39695.1796875,39875.6015625,39623.12109375,39757.7890625,217666402
2024-07-12 00:00:00+00:00,39783.28125,40257.23828125,39783.28125,40013.76953125,201039379
2024-07-15 00:00:00+00:00,40138.3984375,40351.1015625,40136.1015625,40222.19921875,191162328
2024-07-16 00:00:00+00:00,40263.78125,40988.80859375,40263.78125,40956.30859375,186834886
2024-07-17 00:00:00+00:00,40862.5703125,41221.98046875,40849.7109375,41196.12890625,249657632
2024-07-18 00:00:00+00:00,41156.55859375,41376.0,40597.5,40660.0,253145598
2024-07-19 00:00:00+00:00,40592.3515625,40626.16015625,40203.26953125,40290.62109375,195357169
2024-07-22 00:00:00+00:00,40414.48828125,40472.53125,40222.76953125,40413.828125,192882044
2024-07-23 00:00:00+00:00,40443.73046875,40527.890625,40319.69921875,40359.73046875,168982880
2024-07-24 00:00:00+00:00,40210.62890625,40258.44140625,39807.44921875,39862.4609375,241832448
2024-07-25 00:00:00+00:00,39828.62890625,40438.8203125,39817.5,39940.1015625,224348070
2024-07-26 00:00:00+00:00,40140.859375,40753.828125,40140.859375,40593.609375,196770479
2024-07-29 00:00:00+00:00,40665.7109375,40682.48828125,40388.828125,40542.55859375,167946849
2024-07-30 00:00:00+00:00,40622.12890625,40866.25,40529.1015625,40736.87890625,215194290
2024-07-31 00:00:00+00:00,40768.87890625,41198.62890625,40655.890625,40843.51953125,233597988
2024-08-01 00:00:00+00:00,40916.9609375,41096.66015625,40098.5703125,40336.76953125,287591376
2024-08-02 00:00:00+00:00,40075.328125,40075.328125,39358.6796875,39721.26171875,474045012
2024-08-05 00:00:00+00:00,39056.19140625,39056.19140625,38499.26953125,38711.08984375,364408346
2024-08-06 00:00:00+00:00,38736.21875,39449.53125,38638.30078125,38982.94140625,273255314
2024-08-07 00:00:00+00:00,39230.08984375,39477.9609375,38731.51171875,38775.6015625,256371038
2024-08-08 00:00:00+00:00,38940.37890625,39508.3984375,38922.7890625,39442.890625,224756510
2024-08-09 00:00:00+00:00,39408.05859375,39628.66015625,39230.4296875,39496.03125,193137624
